id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgxPQAWc9W2eXUafimx4AaABAg.8cfIwLAKrHX8cfpUEP5bad		0	2018-02-15 07:59:43	Marshall Elliott	John Saturn... still can't have my gun while I shoot the red off of anyone trying to kick my door in at home, or Carjack me on the streets, or a zombie attack....	UCwglUHmT1tAct8wkGF2DvSQ	http://www.youtube.com/channel/UCwglUHmT1tAct8wkGF2DvSQ	1	UgxPQAWc9W2eXUafimx4AaABAg	Esther Levy
UgxPQAWc9W2eXUafimx4AaABAg.8cfIwLAKrHX8cfodNv-5HK		0	2018-02-15 07:52:21	John Saturn	Esther - "Still cant have my gun, and the death of 17 kids is an acceptable price to pay."	UCIv6q_rC4fSGhcuuvRdOrzw	http://www.youtube.com/channel/UCIv6q_rC4fSGhcuuvRdOrzw	1	UgxPQAWc9W2eXUafimx4AaABAg	Esther Levy
UgxPQAWc9W2eXUafimx4AaABAg.8cfIwLAKrHX8cfmz6csfIg		0	2018-02-15 07:37:51	Marshall Elliott	Can't have my "legally purchased and owned and carried" guns either...	UCwglUHmT1tAct8wkGF2DvSQ	http://www.youtube.com/channel/UCwglUHmT1tAct8wkGF2DvSQ	1	UgxPQAWc9W2eXUafimx4AaABAg	Esther Levy
UgxPQAWc9W2eXUafimx4AaABAg.8cfIwLAKrHX8cfXEaiKDRm		1	2018-02-15 05:11:33	GoProJoe	NEVER give up your guns. The Jewish Agenda wants a weak Leftist police state.	UCezr1ueNGdRF2m6rFk335aQ	http://www.youtube.com/channel/UCezr1ueNGdRF2m6rFk335aQ	1	UgxPQAWc9W2eXUafimx4AaABAg	Esther Levy
UgxPQAWc9W2eXUafimx4AaABAg.8cfIwLAKrHX8cfVnyG2tRt		0	2018-02-15 04:59:02	M4GXMARINE S	Sammy Sam guns don’t kill it takes a sick mother fucker to pull the trigger even if guns were to get banned sick people would still find ways to commit these nonsense attacks	UCi3GelO8XXKVRHUTTzPZdYQ	http://www.youtube.com/channel/UCi3GelO8XXKVRHUTTzPZdYQ	1	UgxPQAWc9W2eXUafimx4AaABAg	Esther Levy
UgxPQAWc9W2eXUafimx4AaABAg.8cfIwLAKrHX8cfU5TfBcze		0	2018-02-15 04:44:05	Ella Hart	and as you shouldn’t.	UCdwg3IJzEwMR0f7otKn8FHg	http://www.youtube.com/channel/UCdwg3IJzEwMR0f7otKn8FHg	1	UgxPQAWc9W2eXUafimx4AaABAg	Esther Levy
UgxPQAWc9W2eXUafimx4AaABAg.8cfIwLAKrHX8cfQoeFLalm		3	2018-02-15 04:15:26	Sammy Sam	Esther Levy No one wants your gun. But it's very nice of you to share with us that a gun has more value than 17 kids.	UCnIxYhWMdQtxGqYpl2V6YPg	http://www.youtube.com/channel/UCnIxYhWMdQtxGqYpl2V6YPg	1	UgxPQAWc9W2eXUafimx4AaABAg	Esther Levy
UgxPQAWc9W2eXUafimx4AaABAg.8cfIwLAKrHX8cfOCmy5916		1	2018-02-15 03:52:39	dave parga	I don't like the name esther. it sounds like a fart.	UCaEakKBHeJUDWLhpS3lipMQ	http://www.youtube.com/channel/UCaEakKBHeJUDWLhpS3lipMQ	1	UgxPQAWc9W2eXUafimx4AaABAg	Esther Levy
UgzgjI4QongJ9AZ24nt4AaABAg	1	0	2018-02-15 03:06:18	John Spurlock	Look at the last name of the suspect surprise surprise surprise	UCG9paXF1ZsGMNwD0uHCAcEw	http://www.youtube.com/channel/UCG9paXF1ZsGMNwD0uHCAcEw	0		
UgzgjI4QongJ9AZ24nt4AaABAg.8cfIuCPwcwL8cfK339dDuN		0	2018-02-15 03:16:23	Globoy Baby	John Spurlock what was the last name	UCvRHzAA0IAaH6IefUEvtqdg	http://www.youtube.com/channel/UCvRHzAA0IAaH6IefUEvtqdg	1	UgzgjI4QongJ9AZ24nt4AaABAg	John Spurlock
UgzoCL5rqjzERjOf7jd4AaABAg	7	1	2018-02-15 03:06:06	sislt777	This is just sad. May God help our children to turn back to Him and that our schools will let God back in! Satan comes to steal kill and destroy. Where there is not much prayer theres more demons hanging around.	UCR49ZlIk5FKMRfuUkJ-9Lbg	http://www.youtube.com/channel/UCR49ZlIk5FKMRfuUkJ-9Lbg	0		
UgzoCL5rqjzERjOf7jd4AaABAg.8cfIshVnXjp8ci2l3tZ8Tw		0	2018-02-16 04:42:57	Azure Hokage	sislt777 Your filthy worthless lies fall on deaf ears, you genocide loving degenerate. You christians are the real demons, and your piece of shit corpse on a stick jesus is the real devil. And don’t ever say anything about the supernatural or spiritual to me again. The only ones who knew what real spirituality is were the Pagans and Druids that you cuntians skinned, boiled and burned alive during the inquisition, crusades and Salem witch trials. You brought nothing but death, suffering and fear to millions of people just because they didn’t believe in your worthless garbage. Karmas a bitch, christian. One day you will all pay for YOUR sins!!!!	UCFo0KOO9uUx0vdZ4YXdyvIQ	http://www.youtube.com/channel/UCFo0KOO9uUx0vdZ4YXdyvIQ	1	UgzoCL5rqjzERjOf7jd4AaABAg	sislt777
UgzoCL5rqjzERjOf7jd4AaABAg.8cfIshVnXjp8ci-gRI14yN		0	2018-02-16 04:16:07	sislt777	dave parga There have been people who have seen satan. I believe one person said he had a black cape and it was made out of flies! Thats not very sexy. Remember Jesus said worms would be his bed! By the way just search youtube for hell testimonies if you want to know the truth from eye witnesses! Search 7 Columbian Youth taken to hell together. Its a true eye witness account of what hell is like. Also Pastor Wiggins said he was taken there and experienced the burning. He said you become the flame and when you cant screem anymore from the pain you grit your teeth together so hard that your teeth shatter. Thats what Jesus meant when He said nashing of teeth!	UCR49ZlIk5FKMRfuUkJ-9Lbg	http://www.youtube.com/channel/UCR49ZlIk5FKMRfuUkJ-9Lbg	1	UgzoCL5rqjzERjOf7jd4AaABAg	sislt777
UgzoCL5rqjzERjOf7jd4AaABAg.8cfIshVnXjp8ci-6mfV4ny		0	2018-02-16 04:11:06	sislt777	Azure Hokage Demons are real and they get into kids who watch satanic garbage like harry potter an all the satanic cartoons. The fruit of evil is everwhere nowdays. When people have Jesus in their hearts they stop doing evil things. Its called becoming a new creation. Without Jesus noone will see God. God is real! I have a very supernatural testimony but sharing it here would be pointless. It would just give you more things to trash. Nevertheless God so loved the world that He gave His only begotten Son that whosoever believes in Him should not perish but have everlasting life. The alternative choice is satan with everlasting death. Its easy to be an athiest until your on your death bed.	UCR49ZlIk5FKMRfuUkJ-9Lbg	http://www.youtube.com/channel/UCR49ZlIk5FKMRfuUkJ-9Lbg	1	UgzoCL5rqjzERjOf7jd4AaABAg	sislt777
UgzoCL5rqjzERjOf7jd4AaABAg.8cfIshVnXjp8chzSy1cigB		0	2018-02-16 04:05:24	sislt777	Wonder_9 I guess you would rather have demons instead.	UCR49ZlIk5FKMRfuUkJ-9Lbg	http://www.youtube.com/channel/UCR49ZlIk5FKMRfuUkJ-9Lbg	1	UgzoCL5rqjzERjOf7jd4AaABAg	sislt777
